City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
479,santa rosa,75,PH,1590356687,78,14.31,121.11,82.4,3.36
480,broken hill,90,AU,1590356700,70,-31.95,141.43,46.4,6.93
481,nhlangano,0,SZ,1590356700,62,-27.12,31.2,50.94,3.4
482,narsaq,6,GL,1590356700,30,60.92,-46.05,55.4,11.41
483,gravdal,42,NO,1590356701,82,68.12,13.5,46.24,11.07
484,beckley,1,US,1590356701,60,37.78,-81.19,78.01,5.82
485,sandnessjoen,40,NO,1590356701,62,66.02,12.63,51.8,4.7
486,ossora,29,RU,1590356702,80,59.24,163.07,38.32,2.42
487,jati,19,PK,1590356702,80,24.35,68.27,80.8,14.85
488,sofia,50,BG,1590356643,81,42.7,23.32,51.8,10.29
489,villazon,0,BO,1590356702,32,-22.09,-65.59,50.47,5.23
490,bilma,25,NE,1590356703,13,18.69,12.92,92.35,7.27
491,olafsvik,59,IS,1590356703,75,64.89,-23.71,44.53,10.27
492,sao jose da coroa grande,56,BR,1590356703,86,-8.9,-35.15,78.49,8.99
493,hosanagara,41,IN,1590356703,96,13.92,75.07,72.77,3.38
494,alyangula,75,AU,1590356704,93,-13.85,136.42,53.6,2.24
495,kulhudhuffushi,77,MV,1590356704,80,6.62,73.07,84.16,14.43
496,ures,0,MX,1590356704,16,29.43,-110.4,93.99,10.0
497,gat,1,IL,1590356704,76,31.61,34.76,66.99,1.01
498,valparaiso,0,CL,1590356477,26,-33.04,-71.63,86.0,17.22
499,koumac,100,NC,1590356705,87,-20.57,164.28,65.95,2.73
500,marsa matruh,0,EG,1590356705,63,31.35,27.25,67.19,11.01
501,back mountain,94,US,1590356705,61,41.34,-76.0,73.0,3.0
502,bac lieu,100,VN,1590356706,76,9.29,105.72,83.62,6.06
503,aranos,0,NA,1590356706,32,-24.13,19.12,60.04,14.2
504,derzhavinsk,0,KZ,1590356706,45,51.1,66.32,73.08,9.51
505,vangaindrano,33,MG,1590356707,88,-23.35,47.6,68.59,5.75
506,sarti,80,GR,1590356707,68,40.1,23.98,63.73,2.15
507,kathu,40,TH,1590356707,100,7.92,98.33,77.0,2.24
508,kizema,100,RU,1590356707,91,61.11,44.83,43.83,10.42
509,itainopolis,45,BR,1590356708,82,-7.45,-41.48,77.36,4.29
510,chilliwack,86,CA,1590356708,58,49.17,-121.94,66.99,1.01
511,te anau,79,NZ,1590356708,85,-45.42,167.72,49.17,3.71
512,sultanpur,100,IN,1590356708,17,26.27,82.07,91.42,7.76
513,mariveles,40,PH,1590356709,88,14.48,120.48,82.4,5.82
514,port keats,48,AU,1590356709,46,-14.25,129.55,60.62,9.46
